coursecode,regulation,subjectcode,subjectname,status
BTECH-HBS,R16,BTECH-HBS-R16-1-2-39,C PROGRAMMING LAB,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-40,ENGLISH,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-41,Mathematics-III,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-42,Applied Chemistry,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-43,ENVIRONMENTAL STUDIES,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-44,OOPS THROUGH C++,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-45,ENGINEERING MECHANICS,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-46,ENGLISH COMMUNICATION LAB,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-47,APPLIED CHEMISTRY LAB,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-48,OOPS THROUGH C++ LAB,0
DIPLO-DEC,C16,DIPLO-DEC-C16-2-4-01,Linear ICs and Applications,0
DIPLO-DEC,C16,DIPLO-DEC-C16-2-4-02,Programming in C & MATLAB ,0
DIPLO-DEC,C16,DIPLO-DEC-C16-2-4-03,Microprocessors,0
DIPLO-DEC,C16,DIPLO-DEC-C16-2-4-04,Electronic Measurements & consumer gadgets,0
DIPLO-DEC,C16,DIPLO-DEC-C16-2-4-05,Microwave & Satellite Communication systems,0
DIPLO-DEC,C16,DIPLO-DEC-C16-2-4-06,Linear ICs Lab,0
DIPLO-DEC,C16,DIPLO-DEC-C16-2-4-07,Microprocessors lab,0
DIPLO-DEC,C16,DIPLO-DEC-C16-2-4-08,C & MATLAB Practice Laboratory,0
DIPLO-DEC,C16,DIPLO-DEC-C16-2-4-09,Consumer Electronics & Measurements Lab,0
DIPLO-DEC,C16,DIPLO-DEC-C16-2-4-10,Basics on Arduino,0
DIPLO-DEE,C16,DIPLO-DEE-C16-2-4-01,AC MACHINES - I,0
DIPLO-DEE,C16,DIPLO-DEE-C16-2-4-02,POWER SYSTEMS - I (G&P),0
DIPLO-DEE,C16,DIPLO-DEE-C16-2-4-03,ELECTRICAL UTILIZATION & TRACTION,0
DIPLO-DEE,C16,DIPLO-DEE-C16-2-4-04,ELECTRICAL INSTALLATION & ESTIMATION,0
DIPLO-DEE,C16,DIPLO-DEE-C16-2-4-05,ELECTRONICS ENGG - II,0
DIPLO-DEE,C16,DIPLO-DEE-C16-2-4-06,ELECTRICAL ENGG DRAWING,0
DIPLO-DEE,C16,DIPLO-DEE-C16-2-4-07,AC MACHINES - I LAB,0
DIPLO-DEE,C16,DIPLO-DEE-C16-2-4-08,COMMUNICATION SKILLS LAB,0
DIPLO-DEE,C16,DIPLO-DEE-C16-2-4-09,ELECTRONICS ENGG - II LAB,0
DIPLO-DEE,C16,DIPLO-DEE-C16-2-4-10,MS OFFICE,0
DIPLO-DME,C16,DIPLO-DME-C16-2-4-01,Engineering Materials,0
DIPLO-DME,C16,DIPLO-DME-C16-2-4-02,Hydraulics and Fluid Power Control Systems,0
